node_id,tipo,etiqueta,grado,grado_ponderado,canal,categoria,visualizaciones,handle
v:ShYWqmOpjFk,video,Ministro de Comunicaciones reitera sobre avances en ruta Palín-Escuintla,0,0,La Hora,News & Politics,242,
v:SryjaiL2B4Q,video,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,0,0,Diario de Centro América,News & Politics,352,
v:THY2YBne3QE,video,"Los ALUCINANTES autobuses de Guatemala | ""Burras""",0,0,Luisito Comunica,Comedy,8190449,
v:TSID63-IC3Y,video,Operativo Relámpago de -PROVIAL - DGT - DIACO -  en 41 Calle Zona 8 de la ciudad Capital.,0,0,PROVIAL-CIV,People & Blogs,332,
v:TT4qJ5FXHYE,video,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",4,4,Quorum,News & Politics,1075,
v:TTijnAoFnzY,video,Conred reprograma simulacro nacional para el 24 de febrero,0,0,T13 Noticias Guatemala,News & Politics,200,
v:TXlMv6bt25w,video,"Más de 42 mil afectados por lluvias en Guatemala; Conred reporta 1,046 emergencias",0,0,PrensaLibreOficial,News & Politics,2294,
v:TnZGNY1RsJE,video,Festival navideño 2025 @MunicipalidaddeGuatemala-1551,0,0,HeX4EveR,People & Blogs,148,
v:UDFS8gl80h8,video,#AprendeConCONRED qué es el Sistema CONRED y quienes lo conforman.,0,0,Conred,Education,521,
v:UTf26hS1UJ8,video,🚦💙 PROVIAL: Proteger y Servir,0,0,PROVIAL-CIV,Education,38,
v:UcvHq8j-J38,video,"Ministerio de Comunicaciones, Infraestructura y Vivienda y los Consejos de Desarrollo",0,0,Ministerio de Finanzas Públicas Guatemala,News & Politics,222,
v:UhL9y3KUl8E,video,SHAI WA: la vecina queer de Casa Presidencial,1,1,Quorum,News & Politics,1755,
v:UzeOcBM9cuU,video,Conred Podcast Episodio 04: Amenaza sísmica y volcánica en Guatemala,0,0,Conred,Education,127,
v:VfBrLONPnFM,video,ME quité el MIEDO de viajar en los buses de GUATEMALA 🔥,0,0,De todo Gt,People & Blogs,329489,
v:VgcpKa1h_2Q,video,CONQUISTA LA CIUDAD / 21K BAM de la Municipalidad de Guatemala,0,0,21KMuniGuate,Sports,3110,
v:VuIl4tjeKGQ,video,La ciudad sigue modernizándose para ti y tu familia.,0,0,Municipalidad de Guatemala,News & Politics,39168,
v:W415t12o3DA,video,Mujer con crisis nerviosa tras intento de asalto,0,0,TN23 Guatemala,News & Politics,4737,
v:WIUZtitfLRw,video,Caminar en una ciudad hecha para carros,6,6,Quorum,News & Politics,422,
v:WQcgx8rs0Qo,video,"PMT SE BURL4 DE UN MOTORISTA D1SC4PACIT4D0, DISCULPESE POR FAVOR VILLA NUEVA, GUATEMALA.",0,0,Cronos Time GT,Education,1861,
v:WXA2Apo79jA,video,Resumen de atención a Emergencias CIV,0,0,CIV -Ministerio de Comunicaciones,News & Politics,29,
v:WXgGL9rZUHo,video,#EnvivoDCA | Conferencia de prensa del Gobierno de Guatemala,0,0,Diario de Centro América,News & Politics,190,
v:XLkVzqqL34Q,video,Nueva Mega Autopista Xochi en Guatemala 🇬🇹 ¿Vale la pena? (Te ahorra hasta 3 horas),0,0,One Life,Entertainment,44510,
v:XVZM15KVXjM,video,Conoce sobre la actualización de la Norma para la Reducción de Desastres número 2 (NRD2).,0,0,Conred,Education,267,
v:X_FAIef8qlE,video,Cruzando la ciudad a puro Transmetro,1,1,Quorum,News & Politics,1140,
v:XktDG8dmcd0,video,Torrenciales lluvias dejan decenas de muertos y miles de evacuados,0,0,DW Español,News & Politics,5171,
v:YJohmVLc9QA,video,How to Get Around Guatemala: Complete Transportation Guide (2026),0,0,Chris & Grace,Travel & Events,3897,
v:YLFXK2c60Xc,video,Por estas razones el 65% de las denuncias por violación en Guatemala nunca llega a un tribunal,0,0,Quorum,News & Politics,200,
v:YSsECnqTVik,video,Suscriben convenios para transferencia de fondos a CAIMUS y entidades especializadas,0,0,Ministerio de Gobernación,News & Politics,15,
v:ZHJoIah2Owo,video,Conoce como funciona el Sistema Conred  #laprevenciónestareadetodos,0,0,Conred,Education,182,
